"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-06","8.05",,"0.70","0.0","0.0","40","43","37","  100","  110","21.0","23.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-07","19.69",,"0.28","0.0","0.0","42","54","33","  250","  250","49.0","59.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-08","14.09",,"0.00","0.0","0.0","35","43","30","  300","  290","29.1","38.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-09","10.74",,"0.00","0.0","0.0","37","47","29","  190","  190","23.0","27.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-10","13.20",,"0.38","0.0","0.0","43","47","42","  190","  180","23.0","27.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-11","8.28",,"0.33","0.0","0.0","45","49","43","  310","  310","23.0","29.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-12","14.54",,"0.12","0.0","0.0","43","45","38","  310","  310","30.0","38.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-13","8.28",,"0.31","0.0","0.0","40","44","36","  300","  290","25.9","34.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-14","17.45",,"0.00","0.0","0.0","36","40","19","  320","  320","30.0","36.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-15","11.18",,"0.00","0.0","0.0","21","30","14","  220","  230","23.0","27.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-16","9.40",,"0.00","0.0","0.0","35","45","30","  210","  210","23.9","29.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-17","5.59",,"0.00","0.0","0.0","41","51","34","   50","  240","15.0","19.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-18","10.51",,"0.00","0.0","0.0","42","49","36","  100","  100","21.9","28.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-19","14.99",,"0.00","0.0","0.0","45","51","33","  310","  320","25.9","35.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-20","13.87",,"0.00","0.0","0.0","34","37","26","  340","  340","23.9","30.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-21","12.97",,"0.00","0.0","0.0","28","36","20","  330","  330","23.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-22","13.20",,"0.00","0.0","0.0","37","50","30","  260","  260","19.9","25.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-23","11.63",,"0.00","0.0","0.0","42","54","30","  180","  200","19.9","23.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-24","6.49",,"0.00","0.0","0.0","43","54","34","  190","  190","14.1","16.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-25","5.14",,"0.19","0.0","0.0","45","49","42","  190","  180","12.1","13.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-26","10.74",,"0.02","0.0","0.0","46","48","43","   90","   90","25.1","32.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-27","27.51",,"1.00","0.0","0.0","43","48","31","  280","  280","40.9","52.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-28","21.92",,"0.00","0.0","0.0","34","42","29","  260","  240","33.1","42.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-29","18.12",,"0.00","0.0","0.0","33","37","26","  310","  310","29.1","38.0",,,,,,,,
